dataset,model,seed,split_seed,train_split,val_split,test_split,Accuracy,Statistical Parity Difference,Equal Opportunity Difference,Overall Accuracy Equality Difference,Treatment Equality Difference,diagnostics_n_test,diagnostics_n_S0,diagnostics_n_S1,diagnostics_n_pos_S0,diagnostics_n_pos_S1,diagnostics_TPR_denom_S0,diagnostics_TPR_denom_S1,diagnostics_FPR_denom_S0,diagnostics_FPR_denom_S1,diagnostics_pred_pos_overall,diagnostics_pred_pos_S0,diagnostics_pred_pos_S1,diagnostics_TPR_S0,diagnostics_TPR_S1,diagnostics_FPR_S0,diagnostics_FPR_S1
german,GCN,20,42,,,,0.2475,0.0222,0.0417,0.1754,0.0000,,,,,,,,,,,,,,,,
german,GCN,21,42,,,,0.4257,0.1657,0.3693,0.1070,4.8462,,,,,,,,,,,,,,,,
german,GCN,22,42,,,,0.4059,0.2735,0.2892,0.1667,2.3571,,,,,,,,,,,,,,,,
german,GCN,23,42,,,,0.3168,0.1065,0.1411,0.1895,5.1739,,,,,,,,,,,,,,,,
german,GCN,24,42,,,,0.3960,0.3600,0.5417,0.2297,5.4877,,,,,,,,,,,,,,,,
german,GCN,25,42,,,,0.4257,0.2923,0.4656,0.2697,2.0161,,,,,,,,,,,,,,,,
german,GCN,26,42,,,,0.3465,0.1581,0.1828,0.1727,4.2609,,,,,,,,,,,,,,,,
german,GCN,27,42,,,,0.2376,0.0222,0.0417,0.1421,0.0455,,,,,,,,,,,,,,,,
german,GCN,28,42,,,,0.4257,0.2711,0.4180,0.2242,5.5385,,,,,,,,,,,,,,,,
german,GCN,29,42,,,,0.4257,0.2615,0.3194,0.0982,3.1154,,,,,,,,,,,,,,,,
german,GAT,0,42,,,,0.3762,0.2620,0.3439,0.2455,6.9091,,,,,,,,,,,,,,,,
german,GAT,1,42,,,,0.2277,0.0000,0.0000,0.1421,0.0000,,,,,,,,,,,,,,,,
german,GAT,2,42,,,,0.3564,0.3267,0.3810,0.1545,6.9231,,,,,,,,,,,,,,,,
german,GAT,3,42,,,,0.2277,0.0000,0.0000,0.1421,0.0000,,,,,,,,,,,,,,,,
german,GAT,4,42,,,,0.2772,0.0750,0.0582,0.1061,0.1167,,,,,,,,,,,,,,,,
german,GAT,5,42,,,,0.3762,0.1180,0.2116,0.2000,2.3571,,,,,,,,,,,,,,,,
german,GAT,6,42,,,,0.4554,0.0000,0.0000,0.0909,0.0000,,,,,,,,,,,,,,,,
german,GAT,7,42,,,,0.2277,0.0000,0.0000,0.1421,0.0000,,,,,,,,,,,,,,,,
german,GAT,8,42,,,,0.3168,0.0000,0.0000,0.1424,0.0000,,,,,,,,,,,,,,,,
german,GAT,9,42,,,,0.2277,0.0000,0.0000,0.1421,0.0000,,,,,,,,,,,,,,,,
german,GAT,10,42,,,,0.4356,0.1544,0.1950,0.0576,4.1690,,,,,,,,,,,,,,,,
german,GAT,11,42,,,,0.3663,0.1192,0.2354,0.2333,2.5714,,,,,,,,,,,,,,,,
german,GAT,12,42,,,,0.4653,0.0444,0.0476,0.1242,0.0507,,,,,,,,,,,,,,,,
german,GAT,13,42,,,,0.4554,0.0000,0.0000,0.0909,0.0000,,,,,,,,,,,,,,,,
german,GAT,14,42,,,,0.2277,0.0000,0.0000,0.1421,0.0000,,,,,,,,,,,,,,,,
german,GAT,15,42,,,,0.2277,0.0000,0.0000,0.1421,0.0000,,,,,,,,,,,,,,,,
german,GAT,16,42,,,,0.3168,0.0000,0.0000,0.1424,0.0000,,,,,,,,,,,,,,,,
german,GAT,17,42,,,,0.3366,0.1264,0.1947,0.1035,4.8696,,,,,,,,,,,,,,,,
german,GAT,18,42,,,,0.3168,0.0000,0.0000,0.1424,0.0000,,,,,,,,,,,,,,,,
german,GAT,19,42,,,,0.2277,0.0000,0.0000,0.1421,0.0000,,,,,,,,,,,,,,,,
german,GAT,20,42,,,,0.2871,0.1111,0.1534,0.1394,4.5652,,,,,,,,,,,,,,,,
german,GAT,21,42,,,,0.3069,0.1434,0.1571,0.1727,4.5652,,,,,,,,,,,,,,,,
german,GAT,22,42,,,,0.2376,0.0351,0.0847,0.0848,9.0000,,,,,,,,,,,,,,,,
german,GAT,23,42,,,,0.2673,0.2503,0.3512,0.1754,3.2727,,,,,,,,,,,,,,,,
german,GAT,24,42,,,,0.2871,0.1111,0.1534,0.1394,4.5652,,,,,,,,,,,,,,,,
german,GAT,25,42,,,,0.2475,0.0667,0.0893,0.1754,6.3913,,,,,,,,,,,,,,,,
german,GAT,26,42,,,,0.3663,0.0727,0.1448,0.1545,5.5714,,,,,,,,,,,,,,,,
german,GAT,27,42,,,,0.2970,0.0707,0.1164,0.0667,6.4286,,,,,,,,,,,,,,,,
german,GAT,28,42,,,,0.3663,0.1180,0.2116,0.2000,2.3571,,,,,,,,,,,,,,,,
german,GAT,29,42,,,,0.2277,0.0000,0.0000,0.1421,0.0000,,,,,,,,,,,,,,,,
german,GIN,0,42,,,,0.3168,0.0000,0.0000,0.1424,0.0000,,,,,,,,,,,,,,,,
german,GIN,1,42,,,,0.3168,0.0000,0.0000,0.1424,0.0000,,,,,,,,,,,,,,,,
german,GIN,2,42,,,,0.3663,0.2736,0.3545,0.2000,1.3611,,,,,,,,,,,,,,,,
german,GIN,3,42,,,,0.3168,0.0000,0.0000,0.1424,0.0000,,,,,,,,,,,,,,,,
german,GIN,4,42,,,,0.3762,0.0727,0.1986,0.1211,6.1818,,,,,,,,,,,,,,,,
german,GIN,5,42,,,,0.3663,0.1602,0.1986,0.1545,7.0000,,,,,,,,,,,,,,,,
german,GIN,6,42,,,,0.3465,0.1158,0.2019,0.1545,7.0000,,,,,,,,,,,,,,,,
german,GIN,7,42,,,,0.3168,0.0502,0.0847,0.1424,7.0000,,,,,,,,,,,,,,,,
german,GIN,8,42,,,,0.3069,0.0749,0.0847,0.1424,7.2727,,,,,,,,,,,,,,,,
german,GIN,9,42,,,,0.3168,0.0000,0.0000,0.1424,0.0000,,,,,,,,,,,,,,,,
german,GIN,10,42,,,,0.3861,0.1696,0.2063,0.1737,6.5455,,,,,,,,,,,,,,,,
german,GIN,11,42,,,,0.3465,0.0830,0.1566,0.1545,5.8333,,,,,,,,,,,,,,,,
german,GIN,12,42,,,,0.4059,0.2828,0.3492,0.0879,1.3990,,,,,,,,,,,,,,,,
german,GIN,13,42,,,,0.2970,0.0576,0.1898,0.0550,6.8571,,,,,,,,,,,,,,,,
german,GIN,14,42,,,,0.3168,0.0000,0.0000,0.1424,0.0000,,,,,,,,,,,,,,,,
german,GIN,15,42,,,,0.3762,0.2949,0.3097,0.2000,6.9231,,,,,,,,,,,,,,,,
german,GIN,16,42,,,,0.3762,0.3405,0.4881,0.2455,1.9644,,,,,,,,,,,,,,,,
german,GIN,17,42,,,,0.3960,0.1755,0.2243,0.1545,7.2727,,,,,,,,,,,,,,,,
german,GIN,18,42,,,,0.3663,0.1532,0.3069,0.1545,6.5455,,,,,,,,,,,,,,,,
german,GIN,19,42,,,,0.3267,0.0942,0.1587,0.1879,7.2727,,,,,,,,,,,,,,,,
german,GIN,20,42,,,,0.3960,0.2734,0.4327,0.2070,6.8462,,,,,,,,,,,,,,,,
german,GIN,21,42,,,,0.3960,0.1516,0.1880,0.1667,5.2500,,,,,,,,,,,,,,,,
german,GIN,22,42,,,,0.3663,0.2123,0.2930,0.0933,5.4545,,,,,,,,,,,,,,,,
german,GIN,23,42,,,,0.4158,0.1956,0.3095,0.1333,1.6319,,,,,,,,,,,,,,,,
