dataset,model,seed,split_seed,train_split,val_split,test_split,Accuracy,Statistical Parity Difference,Equal Opportunity Difference,Overall Accuracy Equality Difference,Treatment Equality Difference,diagnostics_n_test,diagnostics_n_S0,diagnostics_n_S1,diagnostics_n_pos_S0,diagnostics_n_pos_S1,diagnostics_TPR_denom_S0,diagnostics_TPR_denom_S1,diagnostics_FPR_denom_S0,diagnostics_FPR_denom_S1,diagnostics_pred_pos_overall,diagnostics_pred_pos_S0,diagnostics_pred_pos_S1,diagnostics_TPR_S0,diagnostics_TPR_S1,diagnostics_FPR_S0,diagnostics_FPR_S1
german,GCN,20,42,,,,0.2772,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,21,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,22,42,,,,0.2772,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,23,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,24,42,,,,0.2772,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,25,42,,,,0.2772,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,26,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,27,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,28,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,29,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,0,42,,,,0.2772,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,1,42,,,,0.2772,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,2,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,3,42,,,,0.2772,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,4,42,,,,0.2772,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,5,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,6,42,,,,0.2772,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,7,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,8,42,,,,0.2772,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,9,42,,,,0.2772,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,10,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,11,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,12,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,13,42,,,,0.2772,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,14,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,15,42,,,,0.2772,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,16,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,17,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,18,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,19,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,20,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
