dataset,model_a,model_b,metric,diff_mean,diff_std,diff_ci_low,diff_ci_high,n_seeds
bail,GAT+FAME+PFR,GAT+PFR,Statistical Parity Difference,-0.0522,0.0269,-0.0657,-0.0361,11
bail,GAT+FAME+PFR,GAT+PFR,Equal Opportunity Difference,-0.0165,0.0107,-0.0226,-0.0106,11
bail,GAT+FAME+PFR,GAT+PFR,Overall Accuracy Equality Difference,0.0442,0.0230,0.0303,0.0558,11
bail,GAT+FAME+PFR,GAT+PFR,Treatment Equality Difference,-0.6570,0.8879,-1.2055,-0.2426,11
bail,GAT+FAME+PFR,GCN,Accuracy,-0.2094,0.1086,-0.2636,-0.1386,10
bail,GAT+FAME+PFR,GCN,Statistical Parity Difference,-0.0428,0.0280,-0.0574,-0.0245,10
bail,GAT+FAME+PFR,GCN,Equal Opportunity Difference,-0.0067,0.0156,-0.0153,0.0028,10
bail,GAT+FAME+PFR,GCN,Overall Accuracy Equality Difference,0.0383,0.0232,0.0238,0.0506,10
bail,GAT+FAME+PFR,GCN,Treatment Equality Difference,36.9784,58.8385,11.5289,74.7601,10
bail,GAT+FAME+PFR,GCN+FAME,Accuracy,-0.2428,0.0990,-0.2909,-0.1766,10
bail,GAT+FAME+PFR,GCN+FAME,Statistical Parity Difference,-0.0511,0.0205,-0.0607,-0.0381,10
bail,GAT+FAME+PFR,GCN+FAME,Equal Opportunity Difference,-0.0116,0.0085,-0.0170,-0.0070,10
bail,GAT+FAME+PFR,GCN+FAME,Overall Accuracy Equality Difference,0.0474,0.0187,0.0346,0.0568,10
bail,GAT+FAME+PFR,GCN+FAME,Treatment Equality Difference,126.4906,87.5915,76.6768,176.5413,10
bail,GAT+FAME+PFR,GCN+FAME+PFR,Accuracy,-0.2766,0.1659,-0.3680,-0.1832,11
bail,GAT+FAME+PFR,GCN+FAME+PFR,Statistical Parity Difference,-0.0369,0.0306,-0.0537,-0.0194,11
bail,GAT+FAME+PFR,GCN+FAME+PFR,Equal Opportunity Difference,0.0011,0.0288,-0.0134,0.0189,11
bail,GAT+FAME+PFR,GCN+FAME+PFR,Overall Accuracy Equality Difference,0.0396,0.0283,0.0241,0.0547,11
bail,GAT+FAME+PFR,GCN+FAME+PFR,Treatment Equality Difference,8.6486,21.8192,0.1609,22.0379,11
bail,GAT+FAME+PFR,GCN+PFR,Accuracy,-0.1821,0.1413,-0.2537,-0.0959,11
bail,GAT+FAME+PFR,GCN+PFR,Statistical Parity Difference,-0.0370,0.0352,-0.0551,-0.0154,11
bail,GAT+FAME+PFR,GCN+PFR,Equal Opportunity Difference,-0.0035,0.0150,-0.0117,0.0052,11
bail,GAT+FAME+PFR,GCN+PFR,Overall Accuracy Equality Difference,0.0301,0.0309,0.0124,0.0472,11
bail,GAT+FAME+PFR,GCN+PFR,Treatment Equality Difference,33.4856,57.1373,8.9299,69.8552,11
bail,GAT+FAME+PFR,GIN,Accuracy,-0.1411,0.2297,-0.2801,-0.0127,10
bail,GAT+FAME+PFR,GIN,Statistical Parity Difference,-0.0137,0.0327,-0.0322,0.0075,10
bail,GAT+FAME+PFR,GIN,Equal Opportunity Difference,0.0016,0.0178,-0.0086,0.0121,10
bail,GAT+FAME+PFR,GIN,Overall Accuracy Equality Difference,0.0135,0.0262,-0.0031,0.0277,10
bail,GAT+FAME+PFR,GIN,Treatment Equality Difference,-0.7033,0.9118,-1.2711,-0.2760,10
bail,GAT+FAME+PFR,GIN+PFR,Accuracy,-0.1062,0.2107,-0.2266,0.0087,11
bail,GAT+FAME+PFR,GIN+PFR,Statistical Parity Difference,-0.0034,0.0317,-0.0207,0.0161,11
bail,GAT+FAME+PFR,GIN+PFR,Equal Opportunity Difference,0.0025,0.0160,-0.0066,0.0112,11
bail,GAT+FAME+PFR,GIN+PFR,Overall Accuracy Equality Difference,0.0033,0.0266,-0.0118,0.0178,11
bail,GAT+FAME+PFR,GIN+PFR,Treatment Equality Difference,-0.6295,0.8975,-1.2211,-0.2091,11
bail,GAT+PFR,GCN,Accuracy,0.1371,0.1185,0.0705,0.2028,10
bail,GAT+PFR,GCN,Statistical Parity Difference,0.0146,0.0154,0.0067,0.0243,10
bail,GAT+PFR,GCN,Equal Opportunity Difference,0.0115,0.0121,0.0048,0.0191,10
bail,GAT+PFR,GCN,Overall Accuracy Equality Difference,-0.0103,0.0181,-0.0220,-0.0019,10
bail,GAT+PFR,GCN,Treatment Equality Difference,37.7011,58.9085,11.4360,76.6715,10
