dataset,model_a,model_b,metric,diff_mean,diff_std,diff_ci_low,diff_ci_high,n_seeds
german,GAT+FAME,GIN,Treatment Equality Difference,-0.6676,2.8059,-1.5011,0.0058,49
german,GAT+FAME,GIN+PFR,Accuracy,0.0614,0.1350,0.0069,0.1495,10
german,GAT+FAME,GIN+PFR,Statistical Parity Difference,-0.0165,0.0520,-0.0504,0.0088,10
german,GAT+FAME,GIN+PFR,Equal Opportunity Difference,-0.0245,0.0733,-0.0754,0.0103,10
german,GAT+FAME,GIN+PFR,Overall Accuracy Equality Difference,-0.0211,0.0412,-0.0477,0.0001,10
german,GAT+FAME,GIN+PFR,Treatment Equality Difference,-0.0888,0.2317,-0.2378,0.0226,10
german,GAT+FAME+PFR,GAT+PFR,Accuracy,-0.2133,0.2787,-0.3627,-0.0531,11
german,GAT+FAME+PFR,GAT+PFR,Statistical Parity Difference,-0.0262,0.0555,-0.0595,-0.0011,11
german,GAT+FAME+PFR,GAT+PFR,Equal Opportunity Difference,-0.0193,0.0430,-0.0460,0.0000,11
german,GAT+FAME+PFR,GAT+PFR,Overall Accuracy Equality Difference,-0.0010,0.0105,-0.0077,0.0047,11
german,GAT+FAME+PFR,GAT+PFR,Treatment Equality Difference,-0.3558,1.0193,-1.0128,0.0000,11
german,GAT+FAME+PFR,GCN,Accuracy,-0.0426,0.2935,-0.2109,0.1248,10
german,GAT+FAME+PFR,GCN,Statistical Parity Difference,-0.0209,0.0669,-0.0630,0.0133,10
german,GAT+FAME+PFR,GCN,Equal Opportunity Difference,-0.0207,0.0452,-0.0517,0.0000,10
german,GAT+FAME+PFR,GCN,Overall Accuracy Equality Difference,0.0038,0.0191,-0.0062,0.0159,10
german,GAT+FAME+PFR,GCN,Treatment Equality Difference,-0.1676,1.3545,-1.0287,0.6200,10
german,GAT+FAME+PFR,GCN+FAME,Accuracy,0.0772,0.1611,0.0010,0.1822,10
german,GAT+FAME+PFR,GCN+FAME,Statistical Parity Difference,-0.0288,0.0578,-0.0700,-0.0025,10
german,GAT+FAME+PFR,GCN+FAME,Equal Opportunity Difference,-0.0213,0.0448,-0.0506,0.0000,10
german,GAT+FAME+PFR,GCN+FAME,Overall Accuracy Equality Difference,-0.0010,0.0111,-0.0086,0.0051,10
german,GAT+FAME+PFR,GCN+FAME,Treatment Equality Difference,-0.3914,1.0673,-1.0758,0.0000,10
german,GAT+FAME+PFR,GCN+FAME+PFR,Accuracy,0.0675,0.1531,-0.0009,0.1602,11
german,GAT+FAME+PFR,GCN+FAME+PFR,Statistical Parity Difference,-0.0228,0.0537,-0.0591,0.0022,11
german,GAT+FAME+PFR,GCN+FAME+PFR,Equal Opportunity Difference,-0.0146,0.0405,-0.0402,0.0047,11
german,GAT+FAME+PFR,GCN+FAME+PFR,Overall Accuracy Equality Difference,0.0024,0.0095,-0.0032,0.0077,11
german,GAT+FAME+PFR,GCN+FAME+PFR,Treatment Equality Difference,-0.3440,1.0221,-0.9742,0.0119,11
german,GAT+FAME+PFR,GCN+PFR,Accuracy,0.0000,0.2447,-0.1494,0.1395,11
german,GAT+FAME+PFR,GCN+PFR,Statistical Parity Difference,-0.0248,0.0565,-0.0599,0.0006,11
german,GAT+FAME+PFR,GCN+PFR,Equal Opportunity Difference,-0.0140,0.0489,-0.0444,0.0093,11
german,GAT+FAME+PFR,GCN+PFR,Overall Accuracy Equality Difference,0.0068,0.0282,-0.0056,0.0258,11
german,GAT+FAME+PFR,GCN+PFR,Treatment Equality Difference,0.0760,1.8515,-0.9312,1.2059,11
german,GAT+FAME+PFR,GIN,Accuracy,0.0267,0.1555,-0.0584,0.1218,10
german,GAT+FAME+PFR,GIN,Statistical Parity Difference,0.0522,0.1533,-0.0329,0.1477,10
german,GAT+FAME+PFR,GIN,Equal Opportunity Difference,0.0508,0.1265,-0.0211,0.1278,10
german,GAT+FAME+PFR,GIN,Overall Accuracy Equality Difference,0.0086,0.0258,-0.0049,0.0242,10
german,GAT+FAME+PFR,GIN,Treatment Equality Difference,0.7572,2.6294,-0.7165,2.4474,10
german,GAT+FAME+PFR,GIN+PFR,Accuracy,0.0693,0.1522,0.0009,0.1647,11
german,GAT+FAME+PFR,GIN+PFR,Statistical Parity Difference,-0.0217,0.0598,-0.0594,0.0069,11
german,GAT+FAME+PFR,GIN+PFR,Equal Opportunity Difference,-0.0133,0.0501,-0.0439,0.0121,11
german,GAT+FAME+PFR,GIN+PFR,Overall Accuracy Equality Difference,-0.0026,0.0117,-0.0095,0.0039,11
german,GAT+FAME+PFR,GIN+PFR,Treatment Equality Difference,-0.3376,1.0281,-0.9780,0.0324,11
german,GAT+PFR,GCN,Accuracy,0.1921,0.2222,0.0584,0.3257,10
german,GAT+PFR,GCN,Statistical Parity Difference,0.0079,0.0250,0.0000,0.0237,10
german,GAT+PFR,GCN,Equal Opportunity Difference,0.0006,0.0018,0.0000,0.0017,10
german,GAT+PFR,GCN,Overall Accuracy Equality Difference,0.0048,0.0152,0.0000,0.0144,10
german,GAT+PFR,GCN,Treatment Equality Difference,0.2238,0.7077,0.0000,0.6714,10
german,GAT+PFR,GCN+FAME,Accuracy,0.3119,0.2152,0.1782,0.4021,10
german,GAT+PFR,GCN+FAME,Statistical Parity Difference,0.0000,0.0000,0.0000,0.0000,10
german,GAT+PFR,GCN+FAME,Equal Opportunity Difference,0.0000,0.0000,0.0000,0.0000,10
german,GAT+PFR,GCN+FAME,Overall Accuracy Equality Difference,0.0000,0.0000,0.0000,0.0000,10
german,GAT+PFR,GCN+FAME,Treatment Equality Difference,0.0000,0.0000,0.0000,0.0000,10
german,GAT+PFR,GCN+FAME+PFR,Accuracy,0.2808,0.2227,0.1602,0.4014,11
german,GAT+PFR,GCN+FAME+PFR,Statistical Parity Difference,0.0034,0.0058,0.0000,0.0067,11
german,GAT+PFR,GCN+FAME+PFR,Equal Opportunity Difference,0.0047,0.0081,0.0000,0.0094,11
german,GAT+PFR,GCN+FAME+PFR,Overall Accuracy Equality Difference,0.0034,0.0058,0.0000,0.0067,11
german,GAT+PFR,GCN+FAME+PFR,Treatment Equality Difference,0.0119,0.0203,0.0000,0.0237,11
german,GAT+PFR,GCN+PFR,Accuracy,0.2133,0.2250,0.0918,0.3348,11
german,GAT+PFR,GCN+PFR,Statistical Parity Difference,0.0014,0.0047,0.0000,0.0042,11
german,GAT+PFR,GCN+PFR,Equal Opportunity Difference,0.0053,0.0177,0.0000,0.0160,11
german,GAT+PFR,GCN+PFR,Overall Accuracy Equality Difference,0.0078,0.0259,0.0000,0.0234,11
german,GAT+PFR,GCN+PFR,Treatment Equality Difference,0.4318,1.4322,0.0000,1.2955,11
german,GAT+PFR,GIN,Accuracy,0.2624,0.2460,0.1119,0.4011,10
german,GAT+PFR,GIN,Statistical Parity Difference,0.0798,0.1233,0.0202,0.1559,10
german,GAT+PFR,GIN,Equal Opportunity Difference,0.0703,0.1044,0.0129,0.1376,10
german,GAT+PFR,GIN,Overall Accuracy Equality Difference,0.0085,0.0237,-0.0035,0.0230,10
german,GAT+PFR,GIN,Treatment Equality Difference,1.1443,2.1879,0.1389,2.6296,10
german,GAT+PFR,GIN+PFR,Accuracy,0.2826,0.2241,0.1611,0.4041,11
german,GAT+PFR,GIN+PFR,Statistical Parity Difference,0.0045,0.0151,0.0000,0.0136,11
german,GAT+PFR,GIN+PFR,Equal Opportunity Difference,0.0061,0.0201,0.0000,0.0182,11
german,GAT+PFR,GIN+PFR,Overall Accuracy Equality Difference,-0.0016,0.0054,-0.0049,0.0000,11
german,GAT+PFR,GIN+PFR,Treatment Equality Difference,0.0182,0.0603,0.0000,0.0545,11
german,GCN,GCN+FAME,Accuracy,0.1218,0.1982,0.0711,0.1772,50
german,GCN,GCN+FAME,Statistical Parity Difference,-0.0018,0.0113,-0.0052,0.0000,50
german,GCN,GCN+FAME,Equal Opportunity Difference,-0.0005,0.0026,-0.0013,0.0000,50
german,GCN,GCN+FAME,Overall Accuracy Equality Difference,-0.0012,0.0070,-0.0034,0.0000,50
german,GCN,GCN+FAME,Treatment Equality Difference,-0.0448,0.3165,-0.1343,0.0000,50
german,GCN,GCN+FAME+PFR,Accuracy,0.1168,0.1986,0.0257,0.2386,10
german,GCN,GCN+FAME+PFR,Statistical Parity Difference,-0.0042,0.0269,-0.0225,0.0074,10
german,GCN,GCN+FAME+PFR,Equal Opportunity Difference,0.0046,0.0089,-0.0000,0.0103,10
german,GCN,GCN+FAME+PFR,Overall Accuracy Equality Difference,-0.0011,0.0175,-0.0132,0.0074,10
german,GCN,GCN+FAME+PFR,Treatment Equality Difference,-0.2108,0.7126,-0.6671,0.0217,10
german,GCN,GCN+PFR,Accuracy,0.0426,0.1417,-0.0059,0.1337,10
german,GCN,GCN+PFR,Statistical Parity Difference,-0.0064,0.0201,-0.0191,0.0000,10
german,GCN,GCN+PFR,Equal Opportunity Difference,0.0053,0.0167,0.0000,0.0159,10
german,GCN,GCN+PFR,Overall Accuracy Equality Difference,0.0038,0.0119,0.0000,0.0113,10
german,GCN,GCN+PFR,Treatment Equality Difference,0.2512,0.7943,0.0000,0.7536,10
german,GCN,GIN,Accuracy,0.1119,0.1997,0.0556,0.1707,49
german,GCN,GIN,Statistical Parity Difference,0.0300,0.0703,0.0127,0.0510,49
german,GCN,GIN,Equal Opportunity Difference,0.0315,0.0701,0.0132,0.0524,49
german,GCN,GIN,Overall Accuracy Equality Difference,0.0033,0.0135,0.0000,0.0077,49
german,GCN,GIN,Treatment Equality Difference,0.1487,0.5306,0.0223,0.3170,49
german,GCN,GIN+PFR,Accuracy,0.1188,0.1972,-0.0010,0.2515,10
german,GCN,GIN+PFR,Statistical Parity Difference,-0.0029,0.0310,-0.0237,0.0150,10
german,GCN,GIN+PFR,Equal Opportunity Difference,0.0061,0.0214,-0.0011,0.0200,10
german,GCN,GIN+PFR,Overall Accuracy Equality Difference,-0.0066,0.0156,-0.0168,0.0000,10
german,GCN,GIN+PFR,Treatment Equality Difference,-0.2038,0.7175,-0.6714,0.0600,10
german,GCN+FAME,GCN+FAME+PFR,Accuracy,-0.0030,0.0048,-0.0059,0.0000,10
german,GCN+FAME,GCN+FAME+PFR,Statistical Parity Difference,0.0037,0.0060,0.0000,0.0074,10
german,GCN+FAME,GCN+FAME+PFR,Equal Opportunity Difference,0.0052,0.0083,0.0000,0.0103,10
german,GCN+FAME,GCN+FAME+PFR,Overall Accuracy Equality Difference,0.0037,0.0060,0.0000,0.0074,10
german,GCN+FAME,GCN+FAME+PFR,Treatment Equality Difference,0.0130,0.0210,0.0000,0.0261,10
german,GCN+FAME,GCN+PFR,Accuracy,-0.0772,0.1652,-0.1784,0.0000,10
german,GCN+FAME,GCN+PFR,Statistical Parity Difference,0.0015,0.0049,0.0000,0.0046,10
german,GCN+FAME,GCN+PFR,Equal Opportunity Difference,0.0059,0.0185,0.0000,0.0176,10
german,GCN+FAME,GCN+PFR,Overall Accuracy Equality Difference,0.0086,0.0271,0.0000,0.0257,10
german,GCN+FAME,GCN+PFR,Treatment Equality Difference,0.4750,1.5021,0.0000,1.4250,10
german,GCN+FAME,GIN,Accuracy,-0.0123,0.0317,-0.0224,-0.0048,49
german,GCN+FAME,GIN,Statistical Parity Difference,0.0319,0.0732,0.0133,0.0531,49
german,GCN+FAME,GIN,Equal Opportunity Difference,0.0319,0.0702,0.0143,0.0527,49
german,GCN+FAME,GIN,Overall Accuracy Equality Difference,0.0046,0.0154,0.0007,0.0092,49
german,GCN+FAME,GIN,Treatment Equality Difference,0.1944,0.5392,0.0730,0.3586,49
german,GCN+FAME,GIN+PFR,Accuracy,-0.0010,0.0031,-0.0030,0.0000,10
german,GCN+FAME,GIN+PFR,Statistical Parity Difference,0.0050,0.0158,0.0000,0.0150,10
german,GCN+FAME,GIN+PFR,Equal Opportunity Difference,0.0067,0.0211,0.0000,0.0200,10
german,GCN+FAME,GIN+PFR,Overall Accuracy Equality Difference,-0.0018,0.0057,-0.0054,0.0000,10
german,GCN+FAME,GIN+PFR,Treatment Equality Difference,0.0200,0.0632,0.0000,0.0600,10
german,GCN+FAME+PFR,GCN+PFR,Accuracy,-0.0675,0.1598,-0.1674,0.0045,11
german,GCN+FAME+PFR,GCN+PFR,Statistical Parity Difference,-0.0020,0.0081,-0.0067,0.0028,11
german,GCN+FAME+PFR,GCN+PFR,Equal Opportunity Difference,0.0006,0.0208,-0.0094,0.0144,11
german,GCN+FAME+PFR,GCN+PFR,Overall Accuracy Equality Difference,0.0044,0.0276,-0.0056,0.0223,11
german,GCN+FAME+PFR,GCN+PFR,Treatment Equality Difference,0.4200,1.4362,-0.0237,1.2915,11
german,GCN+FAME+PFR,GIN,Accuracy,-0.0465,0.0732,-0.0950,-0.0069,10
german,GCN+FAME+PFR,GIN,Statistical Parity Difference,0.0761,0.1226,0.0052,0.1522,10
german,GCN+FAME+PFR,GIN,Equal Opportunity Difference,0.0652,0.1036,0.0102,0.1300,10
german,GCN+FAME+PFR,GIN,Overall Accuracy Equality Difference,0.0048,0.0232,-0.0072,0.0200,10
german,GCN+FAME+PFR,GIN,Treatment Equality Difference,1.1312,2.1885,0.1171,2.4825,10
german,GCN+FAME+PFR,GIN+PFR,Accuracy,0.0018,0.0040,0.0000,0.0045,11
german,GCN+FAME+PFR,GIN+PFR,Statistical Parity Difference,0.0012,0.0131,-0.0045,0.0103,11
german,GCN+FAME+PFR,GIN+PFR,Equal Opportunity Difference,0.0014,0.0174,-0.0063,0.0119,11
german,GCN+FAME+PFR,GIN+PFR,Overall Accuracy Equality Difference,-0.0050,0.0097,-0.0111,0.0000,11
german,GCN+FAME+PFR,GIN+PFR,Treatment Equality Difference,0.0063,0.0528,-0.0158,0.0427,11
german,GCN+PFR,GIN,Accuracy,0.0277,0.1843,-0.0713,0.1406,10
german,GCN+PFR,GIN,Statistical Parity Difference,0.0783,0.1217,0.0153,0.1525,10
german,GCN+PFR,GIN,Equal Opportunity Difference,0.0645,0.0971,0.0129,0.1284,10
german,GCN+PFR,GIN,Overall Accuracy Equality Difference,-0.0001,0.0187,-0.0094,0.0129,10
german,GCN+PFR,GIN,Treatment Equality Difference,0.6693,2.6048,-0.6722,2.3319,10
german,GCN+PFR,GIN+PFR,Accuracy,0.0693,0.1589,-0.0018,0.1701,11
german,GCN+PFR,GIN+PFR,Statistical Parity Difference,0.0031,0.0162,-0.0042,0.0136,11
german,GCN+PFR,GIN+PFR,Equal Opportunity Difference,0.0007,0.0281,-0.0160,0.0182,11
german,GCN+PFR,GIN+PFR,Overall Accuracy Equality Difference,-0.0094,0.0259,-0.0250,0.0000,11
german,GCN+PFR,GIN+PFR,Treatment Equality Difference,-0.4136,1.4395,-1.2955,0.0545,11
german,GIN,GIN+PFR,Accuracy,0.0485,0.0716,0.0099,0.0931,10
german,GIN,GIN+PFR,Statistical Parity Difference,-0.0748,0.1133,-0.1459,-0.0114,10
german,GIN,GIN+PFR,Equal Opportunity Difference,-0.0637,0.0912,-0.1199,-0.0154,10
german,GIN,GIN+PFR,Overall Accuracy Equality Difference,-0.0102,0.0272,-0.0283,0.0035,10
german,GIN,GIN+PFR,Treatment Equality Difference,-1.1243,2.1677,-2.5902,-0.0436,10
