dataset,model,metric,mean,std,ci_low,ci_high,ci_width,cv
credit,GAT+FAME+PFR,Statistical Parity Difference,0.0072,0.0137,0.0006,0.0161,0.0155,1.8960
credit,GAT+FAME+PFR,Equal Opportunity Difference,0.0064,0.0112,0.0009,0.0138,0.0129,1.7535
credit,GAT+FAME+PFR,Overall Accuracy Equality Difference,0.0977,0.0077,0.0931,0.1012,0.0081,0.0783
credit,GAT+FAME+PFR,Treatment Equality Difference,0.0363,0.0772,0.0033,0.0841,0.0808,2.1306
credit,GAT+PFR,Accuracy,0.6089,0.2036,0.4920,0.7166,0.2245,0.3344
credit,GAT+PFR,Statistical Parity Difference,0.0482,0.0554,0.0188,0.0809,0.0621,1.1496
credit,GAT+PFR,Equal Opportunity Difference,0.0540,0.0621,0.0206,0.0910,0.0704,1.1496
credit,GAT+PFR,Overall Accuracy Equality Difference,0.0776,0.0304,0.0597,0.0948,0.0352,0.3919
credit,GAT+PFR,Treatment Equality Difference,15.8016,49.7714,0.3322,46.1215,45.7893,3.1498
credit,GCN,Accuracy,0.7533,0.0579,0.7361,0.7676,0.0315,0.0769
credit,GCN,Statistical Parity Difference,0.0254,0.0599,0.0112,0.0441,0.0329,2.3547
credit,GCN,Equal Opportunity Difference,0.0234,0.0523,0.0105,0.0393,0.0287,2.2342
credit,GCN,Overall Accuracy Equality Difference,0.0905,0.0193,0.0845,0.0954,0.0109,0.2130
credit,GCN,Treatment Equality Difference,0.2554,0.9012,0.0697,0.5446,0.4750,3.5279
credit,GCN+FAME,Accuracy,0.7779,0.0011,0.7776,0.7782,0.0006,0.0014
credit,GCN+FAME,Statistical Parity Difference,0.0119,0.0151,0.0078,0.0162,0.0084,1.2729
credit,GCN+FAME,Equal Opportunity Difference,0.0148,0.0199,0.0095,0.0206,0.0110,1.3472
credit,GCN+FAME,Overall Accuracy Equality Difference,0.1098,0.0125,0.1065,0.1133,0.0068,0.1140
credit,GCN+FAME,Treatment Equality Difference,0.0330,0.0434,0.0219,0.0451,0.0232,1.3150
credit,GCN+FAME+PFR,Accuracy,0.7784,0.0006,0.7780,0.7787,0.0007,0.0008
credit,GCN+FAME+PFR,Statistical Parity Difference,0.0057,0.0094,0.0008,0.0119,0.0111,1.6459
credit,GCN+FAME+PFR,Equal Opportunity Difference,0.0066,0.0118,0.0017,0.0145,0.0128,1.8028
credit,GCN+FAME+PFR,Overall Accuracy Equality Difference,0.1049,0.0069,0.1015,0.1089,0.0074,0.0657
credit,GCN+FAME+PFR,Treatment Equality Difference,0.0149,0.0256,0.0019,0.0298,0.0280,1.7264
credit,GCN+PFR,Accuracy,0.7675,0.0209,0.7532,0.7766,0.0233,0.0272
credit,GCN+PFR,Statistical Parity Difference,0.0099,0.0108,0.0046,0.0170,0.0123,1.0929
credit,GCN+PFR,Equal Opportunity Difference,0.0088,0.0112,0.0035,0.0159,0.0124,1.2688
credit,GCN+PFR,Overall Accuracy Equality Difference,0.0944,0.0113,0.0869,0.0998,0.0129,0.1196
credit,GCN+PFR,Treatment Equality Difference,0.0440,0.0753,0.0089,0.0895,0.0807,1.7122
credit,GIN,Accuracy,0.7787,0.0000,0.7787,0.7787,0.0000,0.0000
credit,GIN,Statistical Parity Difference,0.0000,0.0001,0.0000,0.0000,0.0000,7.0711
credit,GIN,Equal Opportunity Difference,0.0000,0.0001,0.0000,0.0000,0.0000,7.0711
credit,GIN,Overall Accuracy Equality Difference,0.1016,0.0000,0.1016,0.1016,0.0000,0.0000
credit,GIN,Treatment Equality Difference,0.0000,0.0002,0.0000,0.0001,0.0001,7.0711
credit,GIN+PFR,Accuracy,0.7787,0.0000,0.7787,0.7787,0.0000,0.0000
credit,GIN+PFR,Statistical Parity Difference,0.0000,0.0000,0.0000,0.0000,0.0000,
credit,GIN+PFR,Equal Opportunity Difference,0.0000,0.0000,0.0000,0.0000,0.0000,
credit,GIN+PFR,Overall Accuracy Equality Difference,0.1016,0.0000,0.1016,0.1016,0.0000,0.0000
credit,GIN+PFR,Treatment Equality Difference,0.0000,0.0000,0.0000,0.0000,0.0000,
german,GAT,Accuracy,0.5178,0.2243,0.4554,0.5802,0.1248,0.4332
german,GAT,Statistical Parity Difference,0.0000,0.0000,0.0000,0.0000,0.0000,
german,GAT,Equal Opportunity Difference,0.0000,0.0000,0.0000,0.0000,0.0000,
german,GAT,Overall Accuracy Equality Difference,0.0340,0.0000,0.0340,0.0340,0.0000,0.0000
german,GAT,Treatment Equality Difference,0.0000,0.0000,0.0000,0.0000,0.0000,
german,GAT+FAME,Accuracy,0.6430,0.1488,0.5978,0.6810,0.0832,0.2314
german,GAT+FAME,Statistical Parity Difference,0.0305,0.0602,0.0162,0.0487,0.0325,1.9756
german,GAT+FAME,Equal Opportunity Difference,0.0391,0.0713,0.0214,0.0596,0.0382,1.8245
german,GAT+FAME,Overall Accuracy Equality Difference,0.0509,0.0410,0.0406,0.0622,0.0216,0.8059
german,GAT+FAME,Treatment Equality Difference,0.8447,2.7695,0.1881,1.6909,1.5028,3.2785
german,GAT+FAME+PFR,Accuracy,0.6526,0.1546,0.5571,0.7228,0.1656,0.2369
german,GAT+FAME+PFR,Statistical Parity Difference,0.0262,0.0555,0.0011,0.0588,0.0576,2.1197
german,GAT+FAME+PFR,Equal Opportunity Difference,0.0193,0.0430,0.0000,0.0444,0.0444,2.2259
german,GAT+FAME+PFR,Overall Accuracy Equality Difference,0.0349,0.0105,0.0293,0.0415,0.0122,0.3013
german,GAT+FAME+PFR,Treatment Equality Difference,0.3558,1.0193,0.0000,0.9740,0.9740,2.8647
german,GAT+PFR,Accuracy,0.4392,0.2248,0.3177,0.5608,0.2430,0.5118
german,GAT+PFR,Statistical Parity Difference,0.0000,0.0000,0.0000,0.0000,0.0000,
german,GAT+PFR,Equal Opportunity Difference,0.0000,0.0000,0.0000,0.0000,0.0000,
german,GAT+PFR,Overall Accuracy Equality Difference,0.0340,0.0000,0.0340,0.0340,0.0000,0.0000
german,GAT+PFR,Treatment Equality Difference,0.0000,0.0000,0.0000,0.0000,0.0000,
german,GCN,Accuracy,0.6010,0.1982,0.5449,0.6543,0.1093,0.3298
german,GCN,Statistical Parity Difference,0.0018,0.0113,0.0000,0.0052,0.0052,6.1704
german,GCN,Equal Opportunity Difference,0.0005,0.0026,0.0000,0.0013,0.0013,5.5558
german,GCN,Overall Accuracy Equality Difference,0.0352,0.0070,0.0340,0.0376,0.0036,0.1989
german,GCN,Treatment Equality Difference,0.0448,0.3165,0.0000,0.1343,0.1343,7.0711
german,GCN+FAME,Accuracy,0.7228,0.0000,0.7228,0.7228,0.0000,0.0000
german,GCN+FAME,Statistical Parity Difference,0.0000,0.0000,0.0000,0.0000,0.0000,
german,GCN+FAME,Equal Opportunity Difference,0.0000,0.0000,0.0000,0.0000,0.0000,
german,GCN+FAME,Overall Accuracy Equality Difference,0.0340,0.0000,0.0340,0.0340,0.0000,0.0000
german,GCN+FAME,Treatment Equality Difference,0.0000,0.0000,0.0000,0.0000,0.0000,
german,GCN+FAME+PFR,Accuracy,0.7201,0.0046,0.7174,0.7228,0.0054,0.0064
german,GCN+FAME+PFR,Statistical Parity Difference,0.0034,0.0058,0.0000,0.0067,0.0067,1.7127
german,GCN+FAME+PFR,Equal Opportunity Difference,0.0047,0.0081,0.0000,0.0094,0.0094,1.7127
german,GCN+FAME+PFR,Overall Accuracy Equality Difference,0.0373,0.0058,0.0340,0.0407,0.0067,0.1545
german,GCN+FAME+PFR,Treatment Equality Difference,0.0119,0.0203,0.0000,0.0237,0.0237,1.7127
german,GCN+PFR,Accuracy,0.6526,0.1584,0.5527,0.7228,0.1701,0.2428
german,GCN+PFR,Statistical Parity Difference,0.0014,0.0047,0.0000,0.0042,0.0042,3.3166
german,GCN+PFR,Equal Opportunity Difference,0.0053,0.0177,0.0000,0.0160,0.0160,3.3166
german,GCN+PFR,Overall Accuracy Equality Difference,0.0418,0.0259,0.0340,0.0574,0.0234,0.6196
german,GCN+PFR,Treatment Equality Difference,0.4318,1.4322,0.0000,1.2955,1.2955,3.3166
german,GIN,Accuracy,0.7069,0.0400,0.6950,0.7162,0.0212,0.0566
german,GIN,Statistical Parity Difference,0.0361,0.0783,0.0164,0.0589,0.0425,2.1698
german,GIN,Equal Opportunity Difference,0.0344,0.0716,0.0157,0.0557,0.0400,2.0830
german,GIN,Overall Accuracy Equality Difference,0.0381,0.0155,0.0342,0.0426,0.0083,0.4071
german,GIN,Treatment Equality Difference,0.3230,1.0544,0.0871,0.6526,0.5655,3.2644
german,GIN+PFR,Accuracy,0.7219,0.0030,0.7201,0.7228,0.0027,0.0041
german,GIN+PFR,Statistical Parity Difference,0.0045,0.0151,0.0000,0.0136,0.0136,3.3166
german,GIN+PFR,Equal Opportunity Difference,0.0061,0.0201,0.0000,0.0182,0.0182,3.3166
german,GIN+PFR,Overall Accuracy Equality Difference,0.0323,0.0054,0.0291,0.0340,0.0049,0.1670
german,GIN+PFR,Treatment Equality Difference,0.0182,0.0603,0.0000,0.0545,0.0545,3.3166
