dataset,model,seed,Accuracy,Statistical Parity Difference,Equal Opportunity Difference,Overall Accuracy Equality Difference,Treatment Equality Difference,diagnostics_pred_pos_overall,status
bail,GIN,12,0.8788,0.0588,0.0230,0.0145,0.0141,0.4473,OK
bail,GIN,13,0.8936,0.0551,0.0180,0.0136,0.0310,0.4283,OK
bail,GIN,14,0.8677,0.0702,0.0245,0.0062,0.0507,0.4701,OK
bail,GIN,15,0.8941,0.0602,0.0238,0.0126,0.0078,0.4256,OK
bail,GIN,16,0.9195,0.0492,0.0387,0.0295,0.7429,0.3684,OK
bail,GIN,17,0.8195,0.0516,0.0220,0.0224,0.0130,0.5151,OK
bail,GIN,18,0.8216,0.0471,0.0306,0.0332,0.0258,0.5119,OK
bail,GIN,19,0.8417,0.0757,0.0186,0.0034,0.0339,0.4981,OK
bail,GIN,20,0.7094,0.0424,0.0152,0.0282,0.0047,0.6358,OK
bail,GIN,21,0.8941,0.0516,0.0185,0.0168,0.0599,0.4235,OK
bail,GIN,22,0.8084,0.0413,0.0242,0.0353,0.0146,0.5315,OK
bail,GIN,23,0.8301,0.0532,0.0159,0.0169,0.0046,0.5087,OK
bail,GIN,24,0.8756,0.0759,0.0372,0.0079,0.1016,0.4494,OK
bail,GIN,25,0.8899,0.0563,0.0294,0.0207,0.0085,0.4299,OK
bail,GIN,26,0.7877,0.0293,0.0213,0.0452,0.0043,0.5532,OK
bail,GIN,27,0.7867,0.0404,0.0067,0.0239,0.0118,0.5596,OK
bail,GIN,28,0.8936,0.0635,0.0265,0.0115,0.0342,0.4272,OK
bail,GIN,29,0.9153,0.0641,0.0389,0.0185,0.0452,0.3949,OK
bail,GIN,30,0.5490,0.0341,0.0139,0.0374,0.0055,0.8068,OK
bail,GIN,31,0.9322,0.0756,0.0417,0.0051,0.6405,0.3547,OK
bail,GIN,32,0.8597,0.0536,0.0235,0.0193,0.0011,0.4621,OK
bail,GIN,33,0.8465,0.0393,0.0116,0.0256,0.0400,0.4817,OK
bail,GIN,34,0.7110,0.0324,0.0184,0.0400,0.0049,0.6310,OK
bail,GIN,35,0.9068,0.0526,0.0240,0.0200,0.0668,0.4108,OK
bail,GIN,36,0.9227,0.0763,0.0614,0.0191,0.3101,0.3632,OK
bail,GIN,37,0.8703,0.0637,0.0230,0.0096,0.0275,0.4558,OK
bail,GIN,38,0.9333,0.0646,0.0422,0.0158,0.7587,0.3494,OK
bail,GIN,39,0.9227,0.0631,0.0450,0.0234,0.0119,0.3833,OK
bail,GIN,40,0.8523,0.0745,0.0359,0.0102,0.0781,0.4833,OK
bail,GIN,41,0.9238,0.0596,0.0441,0.0235,0.3732,0.3663,OK
bail,GIN,42,0.8947,0.0593,0.0235,0.0137,0.0058,0.4272,OK
