dataset,model,seed,split_seed,train_split,val_split,test_split,Accuracy,Statistical Parity Difference,Equal Opportunity Difference,Overall Accuracy Equality Difference,Treatment Equality Difference,diagnostics_n_test,diagnostics_n_S0,diagnostics_n_S1,diagnostics_n_pos_S0,diagnostics_n_pos_S1,diagnostics_TPR_denom_S0,diagnostics_TPR_denom_S1,diagnostics_FPR_denom_S0,diagnostics_FPR_denom_S1,diagnostics_pred_pos_overall,diagnostics_pred_pos_S0,diagnostics_pred_pos_S1,diagnostics_TPR_S0,diagnostics_TPR_S1,diagnostics_FPR_S0,diagnostics_FPR_S1
bail,GAT,42,42,0.80,0.10,0.10,0.6210,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bail,GAT,43,42,0.80,0.10,0.10,0.6210,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bail,GAT,44,42,0.80,0.10,0.10,0.6210,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bail,GAT,45,42,0.80,0.10,0.10,0.6210,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bail,GAT,46,42,0.80,0.10,0.10,0.4759,0.0704,0.0346,0.0619,0.0020,1889,906,983,374,342,374,342,532,641,0.4203,0.4570,0.3866,0.3797,0.3450,0.5113,0.4087
bail,GAT,47,42,0.80,0.10,0.10,0.7448,0.0342,0.0476,0.0343,0.1105,1889,906,983,374,342,374,342,532,641,0.4447,0.4625,0.4283,0.7727,0.7251,0.2444,0.2699
bail,GAT,48,42,0.80,0.10,0.10,0.3790,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
bail,GAT,49,42,0.80,0.10,0.10,0.6210,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bail,GAT+PFR,0,42,0.80,0.10,0.10,0.6210,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bail,GAT+PFR,5,42,0.80,0.10,0.10,0.3790,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
bail,GAT+PFR,10,42,0.80,0.10,0.10,0.6210,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bail,GAT+PFR,15,42,0.80,0.10,0.10,0.3817,0.0030,0.0000,0.0619,0.0000,1889,906,983,374,342,374,342,532,641,0.9974,0.9989,0.9959,1.0000,1.0000,0.9981,0.9938
bail,GAT+PFR,20,42,0.80,0.10,0.10,0.6210,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bail,GAT+PFR,25,42,0.80,0.10,0.10,0.3790,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
bail,GAT+PFR,30,42,0.80,0.10,0.10,0.6210,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bail,GAT+PFR,35,42,0.80,0.10,0.10,0.3790,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
bail,GAT+PFR,40,42,0.80,0.10,0.10,0.6210,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bail,GAT+PFR,45,42,0.80,0.10,0.10,0.6210,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bail,GAT+PFR,50,42,0.80,0.10,0.10,0.3790,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
bail,GAT+FAME,0,42,0.80,0.10,0.10,0.9010,0.0623,0.0144,0.0155,2.1193,1889,906,983,374,342,374,342,532,641,0.3086,0.3411,0.2787,0.7834,0.7690,0.0301,0.0172
bail,GAT+FAME,1,42,0.80,0.10,0.10,0.9190,0.0689,0.0372,0.0013,5.2286,1889,906,983,374,342,374,342,532,641,0.3107,0.3466,0.2777,0.8209,0.7836,0.0132,0.0078
bail,GAT+FAME,2,42,0.80,0.10,0.10,0.9174,0.0602,0.0023,0.0131,0.0209,1889,906,983,374,342,374,342,532,641,0.3473,0.3786,0.3184,0.8503,0.8480,0.0470,0.0359
bail,GAT+FAME,3,42,0.80,0.10,0.10,0.8587,0.0576,0.0347,0.0126,7.4571,1889,906,983,374,342,374,342,532,641,0.2504,0.2804,0.2228,0.6604,0.6257,0.0132,0.0078
bail,GAT+FAME,4,42,0.80,0.10,0.10,0.9201,0.0707,0.0401,0.0030,0.5625,1889,906,983,374,342,374,342,532,641,0.3330,0.3698,0.2991,0.8529,0.8129,0.0301,0.0250
